 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | JET_EffectiveNP_Statistical1 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0493868 / -0.0471863 | 0.0579438 / -0.0579438 | 0 / 0 | -0.0145315 / 0.0165161 | 0.0389554 / -0.038949 | 0 / 0 | -0.00999258 / 0.0111826 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0825337 / -0.0825337 | -0.0606214 / 0.0665706 | 0 / 0 | 0.0294667 / -0.0293997 | 0.0129576 / -0.0129575 | -0.0326231 / 0.0326231 | 0.0255453 / -0.0251044 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0841546 / 0.085085 | -0.0244974 / 0.0316416 | 0 / 0 | 0 / 2.22045e-16 | -0.0102705 / 0.0157471 | 0.0291094 / -0.0291094 | -4.44089e-16 / -7.77156e-16 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0455284 / 0.0557053 | -0.0210481 / 0.0321227 | 0 / 0 | -5.55112e-16 / -1.11022e-16 | -0.0281019 / 0.0281019 | -2.22045e-16 / -3.33067e-16 | -1.11022e-16 / -5.55112e-16 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0927021 / 0.115551 | -0.0381637 / 0.0381637 | 0 / 0 | -0.0152643 / 0.0159723 | -0.0700233 / 0.0700233 | -0.0290602 / 0.0290602 | -0.0189349 / 0.027721 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0 / 0 | 0 / 0 | 0 / 0 | 0.123813 / -0.0961356 | 0.0506731 / -0.0506732 | 0 / 0 | 0.0147913 / -0.0128093 | -0.0320599 / 0.03206 | 0 / -3.33067e-16 | -0.0269251 / 0.038509 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0 / 0 | 0 / 0 | 0 / 0 | -0.075342 / 0.107341 | 0.104772 / -0.0929965 | 0 / 0 | -1.11022e-16 / 4.44089e-16 | 0.0378858 / -0.0378858 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0329051 / -0.0314601 | -0.0593476 / 0.0593476 | 0 / 0 | -0.0351128 / 0.0356342 | -0.0519171 / 0.0519171 | 0.0476892 / -0.0441747 | 0.0398605 / -0.0236234 | 0 / 0 | 0 / 0 |
 | dmu_ttCCSR5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | dmu_zCCSR5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0.5 / -0.5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
