 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | ps_uncertainty_norm | 0 / 0 | -0.0309405 / 0.0309343 | -0.0304816 / 0.0304755 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0 / 0 | 0.0102674 / -0.0102682 | 0.030662 / 0.0197996 | -0.22521 / 0.230694 | 0 / 0 | 0.0448379 / -0.0427302 | 0.0766748 / -0.0432092 | 0 / 0 | -3.03645e-05 / 3.00111e-05 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0 / 0 | 0.0137457 / -0.0137464 | 0.0404353 / 0.048318 | 0.0540424 / -0.0350916 | 0 / 0 | 0.0532716 / -0.0503619 | 0.0380723 / -0.035618 | 0.0835872 / -0.0670001 | -0.00914484 / 0.0132225 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0 / 0 | 0.0315734 / -0.0315713 | 0.234309 / -0.197008 | 0.0316616 / -0.00721961 | 0 / 0 | -9.11013e-06 / 8.61857e-06 | 0.0483862 / -0.0389426 | 0.153988 / -0.122764 | 0.0466146 / -0.0412724 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0 / 0 | 0.0287457 / -0.0287294 | 0.36769 / -0.2455 | 0.0408154 / -0.032478 | 0 / 0 | 0.0385645 / -0.0369599 | -0.0251496 / 0.0345161 | 0.0707784 / -0.0531659 | 0.0658571 / -0.0584853 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_1_run3 | 0 / 0 | 0 / 0 | -0.0392508 / 0.0392505 | -0.0514779 / 0.0514781 | -0.123885 / 0.123912 | 0 / 0 | -0.11928 / 0.119304 | -0.118998 / 0.119022 | -0.0985999 / 0.0986114 | -0.0701092 / 0.0701117 | 0 / 0 | 0 / 0 |
 | PDF90404_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0106211 / -0.0106219 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90414_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.028486 / -0.0284916 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90421_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0132597 / -0.0132609 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
