 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0.0717454 / -0.0564176 | -0.0174236 / 0.018196 | 0 / 0 | 0.0397626 / -0.0397627 | 0.0250768 / -0.0250768 | -0.0170274 / 0.0170274 | 0.0246901 / -0.0158695 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | 0 / 0 | 0 / 0 | 0 / 4.44089e-16 | 0.0672027 / -0.0471057 | 0.0183199 / -0.0175475 | 0 / 0 | -0.0529387 / 0.053536 | -0.0422216 / 0.0446183 | -0.0214646 / 0.0214646 | 0.0275511 / -0.022433 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0.0154744 / 0.0221754 | -0.00913295 / 0.0182498 | 0 / 0 | 0.0174679 / -0.0172341 | -0.0337925 / 0.0337925 | -0.0337782 / 0.0337782 | -0.0126705 / 0.0185143 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 0 / 0 | 0 / 0 | 0.232811 / -0.132101 | 0.0764608 / -0.0764607 | 0 / 0 | 0.034892 / -0.0348364 | 0.0278547 / -0.0204414 | 0 / 0 | -0.0332989 / 0.0365169 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0.209313 / -0.201523 | -0.169458 / 0.180034 | 0 / 0 | 0.0296454 / -0.0291669 | 0 / 0 | -0.02676 / 0.0372178 | 0.0118592 / -0.0115708 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_mBB | 0 / 0 | 0 / 0 | 2.22045e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_pT_balance | 0 / 0 | 0 / 0 | 4.44089e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ggf_xs | 0 / 0 | 0 / 0 | 0 / 0 | 0.046 / -0.067 | 0.046 / -0.067 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ggf_PDF_aS | 0 / 0 | 0 / 0 | 0 / 0 | 0.032 / -0.032 | 0.032 / -0.032 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | 0 / 0 | 0 / 0 | 0.0628624 / -0.0479224 | 0.0796385 / -0.0693252 | 0 / 0 | 0 / 2.22045e-16 | -0.0199632 / 0.0259808 | 0.0525638 / -0.0500032 | -2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 |
