 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | JET_EffectiveNP_Statistical6 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0773263 / -0.0135189 | 0 / 0 | 0 / 0 | -0.0216279 / 0.0216234 | 0.110015 / -0.110094 | 0.0346686 / -0.0223369 | 0.0248813 / -0.0233575 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | 0 / 0 | 0 / 0 | 0 / 0 | -0.025889 / 0.0364681 | 0.0373915 / -0.0374069 | 0 / 0 | 0.0351019 / -0.0341342 | 0.0583531 / -0.0471158 | 0.0343055 / -0.0343185 | -0.0389474 / 0.0406024 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | 0 / 0 | 0 / 0 | 0 / 0 | 0.115796 / -0.0144428 | 0.0386403 / -0.0386546 | 0 / 0 | -4.81433e-05 / 4.86173e-05 | -0.0413344 / 0.0418505 | 0.0586622 / -0.051168 | 0.0158828 / -0.00502705 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | 0 / 0 | 0 / 0 | 0 / 0 | -0.104151 / 0.117319 | 0.0193923 / -0.0186291 | 0 / 0 | -0.0283764 / 0.0283715 | -0.0485146 / 0.0489582 | 0.0137351 / -0.0137361 | 0.0428102 / -0.0380114 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 0 / 0 | 0 / 0 | 0 / 0 | 0.318912 / -0.227001 | -0.0558721 / 0.0558168 | 0 / 0 | -0.0210921 / 0.0210838 | 0 / 0 | -0.0208336 / 0.0208256 | 0.0198405 / -0.0181595 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 0 / 0 | 0 / 0 | 0 / 0 | -0.149883 / 0.149372 | 0.0227599 / -0.0220194 | 0 / 0 | -0.0301746 / 0.0301786 | -0.0247515 / 0.0283404 | 0.0539764 / -0.05405 | -0.00745635 / 0.0188327 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | 0 / 0 | 0 / 0 | 0 / 0 | -0.26225 / 0.265279 | -0.0550493 / 0.0550103 | 0 / 0 | 2.66105e-05 / -2.64525e-05 | 0.0717331 / -0.0706908 | 0.0429515 / -0.0429773 | 0.0116518 / 0.00598424 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 0 / 0 | 0 / 0 | 0 / 0 | 0.027269 / 0.0210872 | 0.0753264 / -0.0719444 | 0 / 0 | -0.0235228 / 0.0238802 | -0.0237363 / 0.0286199 | -0.0277974 / 0.0277893 | -0.0306274 / 0.0310958 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0 / 0 | 0 / 0 | 0 / 0 | 0.151224 / -0.100273 | 0.107894 / -0.107971 | 0 / 0 | -0.0158855 / 0.0160136 | 0.0356751 / -0.0316381 | -0.0280488 / 0.028317 | 1.7707e-05 / -1.78166e-05 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0 / 0 | 0 / 0 | 0 / 0 | -0.206 / 0.221116 | 0.0337137 / -0.0337289 | 0 / 0 | 0.0468868 / -0.0467512 | -0.0179276 / 0.0179231 | 0.0153485 / -0.0153517 | 0.0259205 / -0.0189271 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0 / 0 | 0 / 0 | 0 / 0 | 0.123776 / -0.103183 | -0.0556361 / 0.0645651 | 0 / 0 | -0.0266232 / 0.0269511 | 0.0329327 / -0.0329475 | 0 / 0 | 0.0379936 / -0.0258722 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | 0 / 0 | 0 / 0 | 0.1104 / -0.0958355 | -0.0348886 / 0.0348934 | 0 / 0 | 0.012184 / -0.0121835 | 0.111591 / -0.106114 | 0.0486899 / -0.0402453 | -0.0306896 / 0.0306935 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0 / 0 | 0 / 0 | 0 / 0 | 0.165307 / -0.113865 | -0.0749993 / 0.0750107 | 0 / 0 | 4.93696e-05 / -5.19633e-05 | -0.0154406 / 0.0189124 | 0.0680735 / -0.0646951 | 0.0325882 / -0.0128191 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0 / 0 | 0 / 0 | -0.11783 / 0.123363 | 0.0595026 / -0.0594383 | 0 / 0 | 0.0628051 / -0.0611151 | 0.0826495 / -0.0718018 | 0.0534742 / -0.0521878 | 0.032154 / -0.0285316 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0 / 0 | 0.331667 / -0.266865 | -0.0486654 / 0.0486903 | 0 / 0 | -0.0153567 / 0.0157673 | -0.0442351 / 0.0484281 | 0.0293421 / -0.0288944 | -0.0427631 / 0.0435531 | 0 / 0 | 0 / 0 |
 | dmu_ttCCSR4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.500704 / -0.50013 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | dmu_zCCSR4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.550754 / -0.514367 | 0.550754 / -0.514367 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | dmu_wCCSR4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.484616 / -0.491098 | 0.484616 / -0.491098 | 0 / 0 | 0 / 0 |
 | dmu_biasCCSR4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.936626 / -0.999537 | 0 / 0 |
 | gamma_stat_CCSR4_bin_0 | 0 / 0 | 3.79999e-07 / -3.79999e-07 | 0.000570653 / -0.000570653 | 0.0027574 / -0.0027574 | 2.66011e-07 / -2.66011e-07 | 1.26082e-07 / -1.26082e-07 | 0.00126808 / -0.00126808 | 0.00173354 / -0.00173354 | 0.00543559 / -0.00543559 | 0.00109626 / -0.00109626 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_1 | 0 / 0 | 0.00161221 / -0.00161221 | 0.000632091 / -0.000632091 | 5.05441e-06 / -5.05441e-06 | 2.23832e-07 / -2.23832e-07 | 1.06091e-07 / -1.06091e-07 | 0.00372689 / -0.00372689 | 0.00418835 / -0.00418835 | 0.00612727 / -0.00612727 | 0.00369728 / -0.00369728 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_2 | 0 / 0 | 0.00214713 / -0.00214713 | 0.000443771 / -0.000443771 | 4.05845e-06 / -4.05845e-06 | 1.79726e-07 / -1.79726e-07 | 8.51857e-08 / -8.51857e-08 | 0.00389079 / -0.00389079 | 0.0044061 / -0.0044061 | 0.0079651 / -0.0079651 | 0.00600524 / -0.00600524 | 0 / 0 | 0 / 0 |
