 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | PDF90414_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0508718 / -0.0508903 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90416_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0237094 / -0.0237131 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90418_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0248779 / -0.0248821 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90420_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.038239 / -0.0382481 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90422_vbfhcc_2223 | 0 / 0 | 0 / 0 | -0.0227258 / 0.0227223 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90425_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0256018 / -0.0256063 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90426_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0128305 / -0.0128317 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90427_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0194895 / -0.0194921 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90428_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0151714 / -0.0151728 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90429_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0194043 / -0.0194068 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ggf_xs | 0 / 0 | 0 / 0 | 0 / 0 | 0.0453909 / -0.0662117 | 0.0453909 / -0.0662117 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ggf_PDF_aS | 0 / 0 | 0 / 0 | 0 / 0 | 0.0317785 / -0.0317854 | 0.0317785 / -0.0317854 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0187286 / 0.0187309 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0 / 0 | 0 / 0 | -0.013032 / 0.0130301 | 0.0708241 / -0.0708739 | 0 / 0 | 7.32929e-05 / -7.13666e-05 | 0.0999908 / -0.100085 | 0.182505 / -0.0689623 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0188333 / -0.00542032 | 0.0683666 / -0.0682451 | 0 / 0 | 0 / 0 | -0.0161836 / 0.0246593 | 0.549242 / -0.183201 | 0.0178394 / -0.017831 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0149344 / -0.0149339 | -0.0312087 / 0.031211 | 0 / 0 | 0.0106711 / -0.0101741 | 0.0572744 / -0.0490566 | 0.0189034 / 0.0638667 | -0.0194077 / 0.0207666 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0470565 / -0.0342989 | -0.0223885 / 0.0254802 | 0 / 0 | 1.80043e-05 / -1.85993e-05 | -0.0436493 / 0.0575936 | 0.145969 / 0.058572 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0210545 / 0.0210597 | -0.0539426 / 0.0539726 | 0 / 0 | -6.03777e-05 / 5.93373e-05 | 0.0388606 / -0.0328574 | 0.131186 / 0.0619609 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0162298 / -0.0162316 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.016142 / -0.016145 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0160585 / -0.0160613 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0162227 / 0.0162211 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0159354 / -0.0159417 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0161117 / -0.0161153 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0161721 / -0.0161748 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | dmu_ttBBSR2_run3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.487281 / -0.492696 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | dmu_zBBSR2_run3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.506502 / -0.417763 | 0.506502 / -0.417763 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | dmu_wBBSR2_run3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.492792 / -0.495947 | 0.492792 / -0.495947 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedME | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0108363 / 0.0108356 | -0.0102788 / 0.0102782 | 0 / 0 | 0 / 0 |
 | dmu_biasBBSR2_run3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.655978 / -0.89799 | 0 / 0 |
 | gamma_stat_BBSR2_run3_bin_0 | 0 / 0 | 0.000232528 / -0.000232528 | 0 / 0 | 1.34126e-07 / -1.34126e-07 | 4.2222e-05 / -4.2222e-05 | 1.24133e-07 / -1.24133e-07 | 0.00129257 / -0.00129257 | 0.000180079 / -0.000180079 | 0.000821518 / -0.000821518 | 0.025733 / -0.025733 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR2_run3_bin_1 | 0 / 0 | 0.000354304 / -0.000354304 | 0 / 0 | 1.04152e-07 / -1.04152e-07 | 3.27866e-05 / -3.27866e-05 | 9.63928e-08 / -9.63928e-08 | 0.00145408 / -0.00145408 | 9.249e-06 / -9.249e-06 | 0.00197969 / -0.00197969 | 0.0036175 / -0.0036175 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR2_run3_bin_2 | 0 / 0 | 0.000483877 / -0.000483877 | 0.00214388 / -0.00214388 | 0.00010479 / -0.00010479 | 0.000740193 / -0.000740193 | 0.00141354 / -0.00141354 | 0.00544838 / -0.00544838 | 0.00801233 / -0.00801233 | 0.00316728 / -0.00316728 | 0.00599963 / -0.00599963 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR2_run3_bin_3 | 0 / 0 | 0.000587151 / -0.000587151 | 0.00275258 / -0.00275258 | 1.04367e-07 / -1.04367e-07 | 3.28543e-05 / -3.28543e-05 | 9.65917e-08 / -9.65917e-08 | 0.00905797 / -0.00905797 | 0.000117192 / -0.000117192 | 0.0763595 / -0.0763595 | 0.0160577 / -0.0160577 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR2_run3_bin_4 | 0 / 0 | 0.000604641 / -0.000604641 | 0 / 0 | 6.00243e-08 / -6.00243e-08 | 1.88953e-05 / -1.88953e-05 | 0.00894304 / -0.00894304 | 0.0103886 / -0.0103886 | 0.00944616 / -0.00944616 | 0.000854372 / -0.000854372 | 0.0172579 / -0.0172579 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR2_run3_bin_5 | 0 / 0 | 0.000587266 / -0.000587266 | 0.00294942 / -0.00294942 | 5.18237e-08 / -5.18237e-08 | 1.63138e-05 / -1.63138e-05 | 4.79628e-08 / -4.79628e-08 | 0.0156962 / -0.0156962 | 0.0135487 / -0.0135487 | 0.0348958 / -0.0348958 | 0.0290926 / -0.0290926 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR2_run3_bin_6 | 0 / 0 | 0.00101395 / -0.00101395 | 0 / 0 | 2.37017e-07 / -2.37017e-07 | 1.35469e-05 / -1.35469e-05 | 3.98281e-08 / -3.98281e-08 | 0.0195636 / -0.0195636 | 0.0213443 / -0.0213443 | 0.033414 / -0.033414 | 0.0275154 / -0.0275154 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR2_run3_bin_7 | 0 / 0 | 0.00153799 / -0.00153799 | 0.00127067 / -0.00127067 | 0.00289413 / -0.00289413 | 1.06511e-05 / -1.06511e-05 | 0.00188677 / -0.00188677 | 0.0214543 / -0.0214543 | 0.0177951 / -0.0177951 | 0.000833003 / -0.000833003 | 0.0157899 / -0.0157899 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR2_run3_bin_8 | 0 / 0 | 0.00227272 / -0.00227272 | 0 / 0 | 0.00306572 / -0.00306572 | 0.00217276 / -0.00217276 | 0.0033254 / -0.0033254 | 0.0198034 / -0.0198034 | 0.0131485 / -0.0131485 | 0.002973 / -0.002973 | 0.0149742 / -0.0149742 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR2_run3_bin_9 | 0 / 0 | 0.00479249 / -0.00479249 | 0 / 0 | 0.00688822 / -0.00688822 | 0.00724875 / -0.00724875 | 0.000546621 / -0.000546621 | 0.0171233 / -0.0171233 | 0.0142816 / -0.0142816 | 0.000605988 / -0.000605988 | 0.0036231 / -0.0036231 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR2_run3_bin_10 | 0 / 0 | 0.00581588 / -0.00581588 | 0.00176446 / -0.00176446 | 0.00174144 / -0.00174144 | 1.05335e-05 / -1.05335e-05 | 0.00796889 / -0.00796889 | 0.00838676 / -0.00838676 | 0.00900649 / -0.00900649 | 0.000688018 / -0.000688018 | 0.00180332 / -0.00180332 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR2_run3_bin_11 | 0 / 0 | 0.00745129 / -0.00745129 | 0.00429283 / -0.00429283 | 0.00246139 / -0.00246139 | 0.0181967 / -0.0181967 | 0.00118888 / -0.00118888 | 0.00270571 / -0.00270571 | 0.00518471 / -0.00518471 | 0.000712441 / -0.000712441 | 0.00108334 / -0.00108334 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR2_run3_bin_12 | 0 / 0 | 0.00609037 / -0.00609037 | 0.00608274 / -0.00608274 | 0.0138751 / -0.0138751 | 5.51291e-06 / -5.51291e-06 | 0.00120327 / -0.00120327 | 0.00109469 / -0.00109469 | 0.00146407 / -0.00146407 | 0.000159748 / -0.000159748 | 0.000400288 / -0.000400288 | 0 / 0 | 0 / 0 |
